名稱,地址,電話,現有網站,網站狀態,優先級,備註,來源
伊頓國際托嬰中心,新竹縣竹北市中華路2-7號,03-553-7733,etonkids.com.tw,DNS掛了,S,網站完全壞掉 — 已做demo,既有名單
立寶兒托嬰中心,新竹縣竹北市嘉豐十一路二段67號2樓,03-658-5159,Google business.site,極陽春,S,只有Google自動生成頁面,既有名單
禾米托嬰中心,新竹縣竹北市環北路一段123號,03-551-6279,home-me.anet.tw,套版/壞掉,A,anet套版 標題渲染異常,既有名單
貝格爾高鐵托嬰中心,新竹縣竹北市高鐵一路30號,03-550-6178,begobaby.com,Wix模板,A,有內容但設計模板感重,既有名單
開蒙國際音樂托嬰中心(勝利校),新竹縣竹北市成功五街63號2樓,03-667-5000,victory.camon.tw,套版系統,A,功能完整但設計老舊,既有名單
艾貝爾國際托嬰中心,新竹縣竹北市光明六路東二段266號,03-668-1655,Facebook粉專,只有FB,B,無官網只有社群,既有名單
亞斯藍幸福館托嬰中心,新竹縣竹北市仁孝街12號3樓之1,03-550-0488,無/可能有Wix半成品,幾乎無,B,人力銀行頁面為主,既有名單
愛樂優托嬰中心,新竹縣竹北市隘口七街35號1-2樓,03-550-0282,無,完全無,B,2024新立案 零網路存在,既有名單
娃娃國托嬰中心,新竹縣竹北市成功二街116號,03-658-7686,有官網,待評估,C,待截圖確認品質,既有名單
星貝托嬰中心,竹北(詳細地址待查),待查,無,2024/10新立案,B,新開幕幾乎確定無網站,既有名單
佳德愛寶貝托嬰中心,竹北(詳細地址待查),待查,無,2024/11新立案,B,新開幕幾乎確定無網站,既有名單
愛兒寶托嬰中心竹北館,竹北(詳細地址待查),待查,無,2024/11新立案,B,新開幕幾乎確定無網站,既有名單
音樂寶姆國際托嬰中心竹北總校,新竹縣竹北市文興路333號,待查,待查,待查,待查,評鑑乙等,新增-官方名冊
金寶貝托嬰中心竹北二館,新竹縣竹北市科大一路68號,待查,待查,待查,待查,,新增-官方名冊
巧兒家園旗艦托嬰中心,新竹縣竹北市嘉豐南路二段68號,待查,待查,待查,待查,,新增-官方名冊
童言嬰語托嬰中心,新竹縣竹北市福興路665號1-2樓,待查,待查,待查,待查,,新增-官方名冊
星苗國際托嬰中心,新竹縣竹北市縣政二路南段23號,待查,待查,待查,待查,,新增-官方名冊
小熊花園托嬰中心,新竹縣竹北市莊敬北路146號,待查,待查,待查,待查,,新增-官方名冊
我家寶貝托嬰中心,新竹縣竹北市嘉豐一街59號,待查,待查,待查,待查,,新增-官方名冊
理想圓托嬰中心,新竹縣竹北市嘉政九街81號,待查,待查,待查,待查,,新增-官方名冊
愛寶貝托嬰中心,新竹縣竹北市文化街84號,03-553-xxxx,待查,待查,待查,,新增-官方名冊
夢想島托嬰中心,新竹縣竹北市莊敬三路43-1號,待查,待查,待查,待查,,新增-官方名冊
竹科蔓托嬰中心,新竹縣竹北市惟馨街89號,03-551-xxxx,待查,待查,待查,,新增-官方名冊
小花園托嬰中心,新竹縣竹北市福興路1023號,待查,待查,待查,待查,,新增-官方名冊
早稻庭托嬰中心,新竹縣竹北市隘口三街200號1-2樓,待查,待查,待查,待查,,新增-官方名冊
優生園托嬰中心,新竹縣竹北市光明九路36號,待查,待查,待查,待查,,新增-官方名冊
婗寶托嬰中心,新竹縣竹北市自強南路153及155號2樓,待查,待查,待查,待查,,新增-官方名冊
樂妍托嬰中心,新竹縣竹北市嘉豐六路一段25號,待查,待查,待查,待查,,新增-官方名冊
快樂托嬰中心(科大館),新竹縣竹北市興隆路一段491號,03-558-8882,待查,待查,待查,,新增-官方名冊
快樂托嬰中心(復興),新竹縣竹北市復興六路47號,待查,待查,待查,待查,,新增-官方名冊
幼澤托嬰中心,新竹縣竹北市文興路二段150號2樓,待查,待查,待查,待查,,新增-官方名冊
優葆托嬰中心,新竹縣竹北市勝利七街一段336號,待查,待查,待查,待查,,新增-官方名冊
庫奇托嬰中心,新竹縣竹北市中山路255-257號,待查,待查,待查,待查,,新增-官方名冊
初果托嬰中心,新竹縣竹北市興隆路二段327號,待查,待查,待查,待查,,新增-官方名冊
安家托嬰中心,新竹縣竹北市勝利十一路137號2樓,待查,待查,待查,待查,,新增-官方名冊
喜多托嬰中心,新竹縣竹北市勝利二路38號2樓,待查,待查,待查,待查,,新增-官方名冊
貝格爾竹北托嬰中心,新竹縣竹北市勝利十一路70號1-2樓,03-658-1850,待查,待查,待查,112年更名圻昱,新增-官方名冊
陽森托嬰中心,新竹縣竹北市自強南路210號3樓,03-658-1992,待查,待查,待查,,新增-官方名冊
柏林國際托嬰中心,新竹縣竹北市縣政二路南段142號,03-657-1868,待查,待查,待查,,新增-官方名冊
