名稱,地址,電話,床位(媽媽/嬰兒),月費起價,現有網站,網站狀態,優先級,備註
育禾麗晶產後護理之家,新竹縣竹北市光明六路東二段346號,03-667-5078,40/45,NT$6800/天,待查,待查,待查,官方合格
儷生竹北產後護理之家,新竹縣竹北市光明一路306號,03-558-7068,25/30,,待查,待查,待查,官方合格
帝寶竹北產後護理之家,新竹縣竹北市嘉豐南路二段120號,03-667-0099,45/49,NT$5200/天,待查,待查,待查,官方合格 獨棟2-7F
沁月產後護理之家,新竹縣竹北市光明六路東二段95號,03-658-5566,36/36,NT$8600/天,待查,待查,待查,高端定位 有瑜伽修復
迎馨產後護理之家,新竹縣竹北市復興二路86號,03-550-5988,19/25,NT$4950/天,待查,待查,待查,小型
寶來產後護理之家,新竹縣竹北市六家五路二段66號,03-668-5075,45/50,NT$6000/天,待查,待查,待查,五星飯店風格
育禾惠生產後護理之家,新竹縣竹北市文義街67號,03-656-5678,28/40,NT$5000/天,待查,待查,待查,
安育產後護理之家,新竹縣竹北市嘉豐六路二段58號,03-668-3883,42/50,,待查,待查,待查,
佑康產後護理之家,新竹縣竹北市成功二街38號,,待查,NT$4950/天,待查,待查,待查,獨棟 資深團隊
環球竹北產後護理之家,新竹縣竹北市高鐵二路156號,,待查,NT$4900/天,待查,待查,待查,
萊姆產後護理之家,新竹縣竹北市文興路333號6-9樓,,待查,NT$5430/天,待查,待查,待查,
