名稱,地址,電話,現有網站,網站狀態,優先級,備註
伊頓國際托嬰中心,新竹縣竹北市中華路2-7號,03-553-7733,etonkids.com.tw,DNS掛了/打不開,S,網站完全壞掉 — 最強pitch
立寶兒托嬰中心,新竹縣竹北市嘉豐十一路二段59/67號2樓,03-658-5159,Google business.site,極陽春,S,只有Google自動生成頁面
禾米托嬰中心,新竹縣竹北市環北路一段123號,03-551-6279,home-me.anet.tw,套版/內容壞掉,A,anet套版系統 標題渲染異常
貝格爾高鐵托嬰中心,新竹縣竹北市高鐵一路30號,03-550-6178,begobaby.com,Wix模板,A,有內容但設計模板感重
開蒙國際音樂托嬰中心(勝利校),新竹縣竹北市成功五街63號2樓,03-667-5000,victory.camon.tw,套版系統,A,功能完整但設計老舊
艾貝爾國際托嬰中心,新竹縣竹北市光明六路東二段266號,03-668-1655,Facebook粉專,只有FB,B,無官網只有社群
亞斯藍幸福館托嬰中心,新竹縣竹北市仁孝街12號3樓之1,03-550-0488,無/可能有Wix半成品,幾乎無,B,人力銀行頁面為主
愛樂優托嬰中心,新竹縣竹北市隘口七街35號1-2樓,03-550-0282,無,完全無,B,2024新立案 零網路存在
娃娃國托嬰中心,新竹縣竹北市成功二街116號,03-658-7686,有官網,待評估,C,待截圖確認品質
星貝托嬰中心,竹北(詳細地址待查),待查,無,2024/10新立案,B,新開幕幾乎確定無網站
佳德愛寶貝托嬰中心,竹北(詳細地址待查),待查,無,2024/11新立案,B,新開幕幾乎確定無網站
愛兒寶托嬰中心竹北館,竹北(詳細地址待查),待查,無,2024/11新立案,B,新開幕幾乎確定無網站
